name,time,value
temp,1704823470957421511,16.1
temp,1704823531068379013,16.1
temp,1704823591485312380,16.1
temp,1704823651695738993,16.1
temp,1704823712011133434,16.1
temp,1704823772263126622,16.1
temp,1704823832598494260,16.1
temp,1704823892863659339,16.1
temp,1704823953219519022,16.1
temp,1704824013230430296,16.1
temp,1704824073725932398,16.1
temp,1704824133925853989,16.1
temp,1704824194084215249,16.1
temp,1704824254685306280,16.1
temp,1704824314702134098,16.0
temp,1704824375203723029,16.0
temp,1704824435331411848,16.0
temp,1704824495634314173,16.0
temp,1704824556035426647,16.0
temp,1704824616200500663,16.0
temp,1704824676566408034,16.0
temp,1704824736693951088,16.0
temp,1704824796947699153,16.0
temp,1704824857370661649,16.0
temp,1704824917654558133,16.0
temp,1704824977948031426,16.0
temp,1704825038049773494,16.1
temp,1704825098278767594,16.0
temp,1704825158676874727,16.0
temp,1704825218856856482,16.1
temp,1704825279131141741,16.1
temp,1704825339465706501,16.1
temp,1704825399832409095,16.1
temp,1704825460093328846,16.1
temp,1704825520544477488,16.1
temp,1704825580791501066,16.0
temp,1704825640924924476,16.1
temp,1704825701146532323,16.1
temp,1704825761472199036,16.1
temp,1704825821783897019,16.1
temp,1704825882149639880,16.1
temp,1704825942329450496,16.1
temp,1704826002636791289,16.1
temp,1704826062940948511,16.1
temp,1704826123060533332,16.1
temp,1704826183583807924,16.0
temp,1704826243814478629,16.0
temp,1704826304176095446,16.0
temp,1704826364293636106,16.0
temp,1704826424469320664,16.0
temp,1704826485046753762,16.0
temp,1704826545168152823,16.0
temp,1704826605343884433,16.0
temp,1704826665597157787,16.0
temp,1704826725986550078,16.0
temp,1704826786302218081,16.0
temp,1704826846491669420,16.0
temp,1704826906913300544,16.0
temp,1704826967324059515,16.0
temp,1704827027584227617,16.0
temp,1704827087808330562,16.0
temp,1704827147984872656,16.0
temp,1704827208191093837,16.0
temp,1704827268699165461,16.0
temp,1704827328724270731,16.0
temp,1704827389141893658,16.0
temp,1704827449529585585,16.0
temp,1704827510499247496,16.0
temp,1704827569876453485,16.0
temp,1704827630299079694,16.0
temp,1704827690580834325,16.0
temp,1704827750701374498,16.0
temp,1704827811032087950,16.0
temp,1704827871254834247,16.0
temp,1704827931510322711,15.9
temp,1704827991840383548,16.0
temp,1704828052154594070,15.9
temp,1704828112572130477,16.0
